id;name;GPS
1;Région Parisienne;48.8589507,2.2775175,12
2;Châlons-en-Champagne;48.962864, 4.367692
3;Reims;49.253642,3.9850486
4;Troyes;48.295485, 4.079897
5;Nancy;48.6881323,6.1384175
6;Metz;49.1049442,6.126366,12
7;Vitry;48.7290759,4.577171
8;Saint Dizier;48.6320317,4.869814,12
9;Verdun;49.1440766,5.2908455
10;sens;48.1951399,3.2688644
11;Chaumont;48.0882118,5.102527,12
12;Auxerre;47.7939685,3.5117836,12
13;Langres;47.8595198,5.3012195,13
14;Dijon;47.331976,4.9621
15;Epernay;49.0391844,3.893171,13
16;Esternay;48.7281583,3.5489015,13
17;Sésanne;48.7240808,3.6873544,13
18;Château Thiery;49.055647,3.3433316,13
19;Laon;49.5711822,3.5428821,12
20;Saint Quentin;49.8476836,3.2440441,13
21;Provins;48.562947,3.2494716,13
