;;;;;;;;;;
Transferts privés vers les agglomérations de communes de Château Thiery et de Metz;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
CP;Commune;Distance;Réservation Individuelle;;;;;;Réservation Groupe ;
;;;1-2 PAX;3-4 PAX;5-6 PAX;7-8 PAX;9-12 PAX;13-16 PAX;17-31 PAX;32-54 PAX
02042;Azy-sur-Marne;94;181;196;206;221;363;417;515;592
02062;Belleau;110;214;229;239;254;429;493;595;677
02094;Blesmes;104;202;217;227;242;404;465;565;645
02098;Bonneil;95;183;198;208;223;367;422;520;597
02105;Bouresches;101;196;211;221;236;392;450;550;629
02114;Brasles;95;183;198;208;223;367;422;520;597
02119;Brécy;100;194;209;219;234;388;446;545;624
02085;Bézu-Saint-Germain;96;186;201;211;226;371;427;525;602
02187;Chierry;94;181;196;206;221;363;417;515;592
02168;Château-Thierry (siège);93;179;194;204;219;359;412;510;586
02203;Coincy;100;194;209;219;234;388;446;545;624
02290;Essômes-sur-Marne;95;183;198;208;223;367;422;520;597
02328;Fossoy;94;181;196;206;221;363;417;515;592
02347;Gland;100;194;209;219;234;388;446;545;624
02524;Mont-Saint-Père;95;183;198;208;223;367;422;520;597
02484;Mézy-Moulins;94;181;196;206;221;363;417;515;592
02540;Nesles-la-Montagne;92;177;192;202;217;355;408;505;581
02554;Nogentel;94;181;196;206;221;363;417;515;592
02649;Rocourt-Saint-Martin;130;256;271;281;296;511;588;694;785
02781;Verdilly;100;194;209;219;234;388;446;545;624
02806;Villeneuve-sur-Fère;100;194;209;219;234;388;446;545;624
02279;Épaux-Bézu;105;204;219;229;244;408;469;570;651
02280;Épieds;105;204;219;229;244;408;469;570;651
02292;Étampes-sur-Marne;92;177;192;202;217;355;408;505;581
02297;Étrépilly;125;245;260;270;285;491;564;669;758
57017;Amanvillers;182;363;378;388;403;726;835;951;1063
57031;Ars-Laquenexy;205;410;425;435;450;821;944;1065;1187
57032;Ars-sur-Moselle;189;377;392;402;417;755;868;986;1101
57039;Augny;206;412;427;437;452;825;948;1070;1192
57049;Le Ban-Saint-Martin;197;394;409;419;434;788;906;1025;1144
57134;Châtel-Saint-Germain;184;367;382;392;407;734;844;961;1074
57140;Chesny;211;423;438;448;463;845;972;1094;1219
57142;Chieulles;194;388;403;413;428;775;892;1010;1128
57146;Coin-lès-Cuvry;215;431;446;456;471;862;991;1114;1240
57147;Coin-sur-Seille;217;435;450;460;475;870;1001;1124;1251
57162;Cuvry;214;429;444;454;469;858;986;1109;1235
57212;Féy;210;421;436;446;461;841;967;1090;1214
57256;Gravelotte;182;363;378;388;403;726;835;951;1063
57351;Jury;208;417;432;442;457;833;958;1080;1203
57352;Jussy;188;375;390;400;415;751;863;981;1096
57385;Laquenexy;210;421;436;446;461;841;967;1090;1214
57396;Lessy;185;369;384;394;409;738;849;966;1080
57412;Longeville-lès-Metz;198;396;411;421;436;792;911;1030;1149
57415;Lorry-lès-Metz;185;369;384;394;409;738;849;966;1080
57445;Marieulles;213;427;442;452;467;854;982;1104;1230
57447;Marly;211;423;438;448;463;845;972;1094;1219
57452;La Maxe;194;388;403;413;428;775;892;1010;1128
57454;Mécleuves;210;421;436;446;461;841;967;1090;1214
57000;Metz;197;394;409;419;434;788;906;1025;1144
57467;Mey;198;396;411;421;436;792;911;1030;1149
57480;Montigny-lès-Metz;200;400;415;425;440;800;920;1040;1160
57487;Moulins-lès-Metz;190;379;394;404;419;759;873;991;1106
57510;Noisseville;204;408;423;433;448;817;939;1060;1181
57512;Nouilly;205;410;425;435;450;821;944;1065;1187
57534;Peltre;206;412;427;437;452;825;948;1070;1192
57545;Plappeville;198;396;411;421;436;792;911;1030;1149
57552;Pouilly;209;419;434;444;459;837;963;1085;1208
57553;Pournoy-la-Chétive;216;433;448;458;473;866;996;1119;1246
57601;Rozérieulles;188;375;390;400;415;751;863;981;1096
57616;Saint-Julien-lès-Metz;197;394;409;419;434;788;906;1025;1144
57624;Sainte-Ruffine;188;375;390;400;415;751;863;981;1096
57622;Saint-Privat-la-Montagne;176;351;366;376;391;701;806;921;1031
57634;Saulny;182;363;378;388;403;726;835;951;1063
57642;Scy-Chazelles;191;381;396;406;421;763;877;995;1112
57693;Vantoux;199;398;413;423;438;796;915;1035;1155
57694;Vany;195;390;405;415;430;779;896;1015;1133
57701;Vaux;190;379;394;404;419;759;873;991;1106
57707;Vernéville;178;355;370;380;395;709;816;931;1042
57751;Woippy;190;379;394;404;419;759;873;991;1106
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
